{'max_epoch': 10, 'train_batch_size': 2, 'last_iter': 0, 'finetune_lr': 5e-05, 'scratch_lr': 0.0005, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416, 'multi-scale': None, 'gpu': '0,1', 'multi-GPUs': False, 'fp16': False, 'warm_up_epochs': 3, 'seed': 2020}

iter: 90, bce1: 0.7292555, bce2: 0.7170325, bce3: 0.7186555, hinge1: 1.9823885, hinge2: 1.9389075, hinge3: 2.1320745, cla: 2.1895705, lr: 0.0000008
iter: 91, bce1: 0.7291145, bce2: 0.7173235, bce3: 0.7182925, hinge1: 1.9837905, hinge2: 1.9395905, hinge3: 2.1327335, cla: 2.1814055, lr: 0.0000008
iter: 92, bce1: 0.7292165, bce2: 0.7171775, bce3: 0.7191875, hinge1: 1.9918285, hinge2: 1.9469005, hinge3: 2.1261685, cla: 2.1814695, lr: 0.0000008
iter: 93, bce1: 0.7293715, bce2: 0.7172545, bce3: 0.7187225, hinge1: 1.9905105, hinge2: 1.9442975, hinge3: 2.1170955, cla: 2.1856395, lr: 0.0000008
iter: 94, bce1: 0.7291675, bce2: 0.7172865, bce3: 0.7185955, hinge1: 1.9932315, hinge2: 1.9469655, hinge3: 2.1151775, cla: 2.1902025, lr: 0.0000008
iter: 95, bce1: 0.7293955, bce2: 0.7176375, bce3: 0.7185185, hinge1: 1.9929605, hinge2: 1.9472365, hinge3: 2.1232905, cla: 2.1918395, lr: 0.0000008
iter: 96, bce1: 0.7295105, bce2: 0.7176125, bce3: 0.7186815, hinge1: 1.9969755, hinge2: 1.9517255, hinge3: 2.1318405, cla: 2.1827685, lr: 0.0000008
iter: 97, bce1: 0.7292865, bce2: 0.7173175, bce3: 0.7188415, hinge1: 1.9967175, hinge2: 1.9533195, hinge3: 2.1330925, cla: 2.1789265, lr: 0.0000008
iter: 98, bce1: 0.7291235, bce2: 0.7171345, bce3: 0.7185955, hinge1: 1.9989315, hinge2: 1.9568425, hinge3: 2.1297265, cla: 2.1649135, lr: 0.0000008
iter: 99, bce1: 0.7289725, bce2: 0.7171215, bce3: 0.7182165, hinge1: 2.0055255, hinge2: 1.9646285, hinge3: 2.1240135, cla: 2.1599785, lr: 0.0000008
iter: 100, bce1: 0.7299385, bce2: 0.7167905, bce3: 0.7181715, hinge1: 2.0058245, hinge2: 1.9664775, hinge3: 2.1320365, cla: 2.1634215, lr: 0.0000008
iter: 101, bce1: 0.7298195, bce2: 0.7167375, bce3: 0.7184945, hinge1: 2.0107585, hinge2: 1.9730735, hinge3: 2.1276135, cla: 2.1525185, lr: 0.0000008
iter: 102, bce1: 0.7297365, bce2: 0.7166055, bce3: 0.7182525, hinge1: 2.0079025, hinge2: 1.9698185, hinge3: 2.1259315, cla: 2.1461585, lr: 0.0000008
iter: 103, bce1: 0.7297565, bce2: 0.7163935, bce3: 0.7180335, hinge1: 2.0098915, hinge2: 1.9689745, hinge3: 2.1227915, cla: 2.1381785, lr: 0.0000008
iter: 104, bce1: 0.7297615, bce2: 0.7163915, bce3: 0.7180885, hinge1: 2.0137545, hinge2: 1.9739635, hinge3: 2.1270735, cla: 2.1259245, lr: 0.0000008
iter: 105, bce1: 0.7297205, bce2: 0.7161965, bce3: 0.7183885, hinge1: 2.0130995, hinge2: 1.9729635, hinge3: 2.1286315, cla: 2.1188725, lr: 0.0000008
iter: 106, bce1: 0.7290795, bce2: 0.7155725, bce3: 0.7185775, hinge1: 2.0106355, hinge2: 1.9701375, hinge3: 2.1351805, cla: 2.1224245, lr: 0.0000008
iter: 107, bce1: 0.7295445, bce2: 0.7153585, bce3: 0.7186995, hinge1: 2.0104355, hinge2: 1.9690745, hinge3: 2.1308935, cla: 2.1200785, lr: 0.0000008
iter: 108, bce1: 0.7297445, bce2: 0.7156775, bce3: 0.7187845, hinge1: 2.0087265, hinge2: 1.9672215, hinge3: 2.1305335, cla: 2.1434285, lr: 0.0000008
iter: 109, bce1: 0.7296525, bce2: 0.7155695, bce3: 0.7183715, hinge1: 2.0125735, hinge2: 1.9731965, hinge3: 2.1239235, cla: 2.1381685, lr: 0.0000008
iter: 110, bce1: 0.7292955, bce2: 0.7154015, bce3: 0.7175865, hinge1: 2.0147375, hinge2: 1.9768775, hinge3: 2.1177555, cla: 2.1374755, lr: 0.0000008
iter: 111, bce1: 0.7292665, bce2: 0.7153625, bce3: 0.7171985, hinge1: 2.0219495, hinge2: 1.9831825, hinge3: 2.1161935, cla: 2.1413875, lr: 0.0000008
iter: 112, bce1: 0.7293135, bce2: 0.7157645, bce3: 0.7170605, hinge1: 2.0147145, hinge2: 1.9766415, hinge3: 2.1185015, cla: 2.1317765, lr: 0.0000008
iter: 113, bce1: 0.7295625, bce2: 0.7156375, bce3: 0.7171775, hinge1: 2.0147735, hinge2: 1.9756255, hinge3: 2.1188055, cla: 2.1330665, lr: 0.0000008
iter: 114, bce1: 0.7294845, bce2: 0.7155635, bce3: 0.7173325, hinge1: 2.0123435, hinge2: 1.9738945, hinge3: 2.1197475, cla: 2.1386025, lr: 0.0000008
iter: 115, bce1: 0.7291595, bce2: 0.7155925, bce3: 0.7174045, hinge1: 2.0144045, hinge2: 1.9767345, hinge3: 2.1296935, cla: 2.1264405, lr: 0.0000008
iter: 116, bce1: 0.7290045, bce2: 0.7154575, bce3: 0.7175435, hinge1: 2.0149665, hinge2: 1.9769075, hinge3: 2.1309445, cla: 2.1165885, lr: 0.0000008
iter: 117, bce1: 0.7292395, bce2: 0.7156005, bce3: 0.7177365, hinge1: 2.0163075, hinge2: 1.9740555, hinge3: 2.1342975, cla: 2.1180835, lr: 0.0000008
iter: 118, bce1: 0.7290015, bce2: 0.7154325, bce3: 0.7172465, hinge1: 2.0173275, hinge2: 1.9748455, hinge3: 2.1282535, cla: 2.1269945, lr: 0.0000008
iter: 119, bce1: 0.7291365, bce2: 0.7152595, bce3: 0.7173315, hinge1: 2.0174185, hinge2: 1.9719805, hinge3: 2.1299015, cla: 2.1245625, lr: 0.0000008
iter: 120, bce1: 0.7291365, bce2: 0.7151665, bce3: 0.7172115, hinge1: 2.0182625, hinge2: 1.9729965, hinge3: 2.1278355, cla: 2.1310895, lr: 0.0000008
iter: 121, bce1: 0.7289255, bce2: 0.7150115, bce3: 0.7173185, hinge1: 2.0194345, hinge2: 1.9762555, hinge3: 2.1244175, cla: 2.1185125, lr: 0.0000008
